DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
2014-05-01T00:00:00,2007-09-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1578485
2014-05-01T00:00:00,2007-09-01T00:00:00,Arrival,International,Charter,376
2014-05-01T00:00:00,2007-09-01T00:00:00,Arrival,International,Commuter,3990
2014-05-01T00:00:00,2007-09-01T00:00:00,Arrival,International,Scheduled Carriers,686584
2014-05-01T00:00:00,2007-09-01T00:00:00,Departure,Domestic,Charter,1900
2014-05-01T00:00:00,2007-09-01T00:00:00,Departure,Domestic,Commuter,142851
2014-05-01T00:00:00,2007-09-01T00:00:00,Departure,Domestic,Scheduled Carriers,1559437
2014-05-01T00:00:00,2007-09-01T00:00:00,Departure,International,Commuter,3778
2014-05-01T00:00:00,2007-09-01T00:00:00,Departure,International,Scheduled Carriers,674680
2014-05-01T00:00:00,2007-10-01T00:00:00,Arrival,Domestic,Charter,1203
2014-05-01T00:00:00,2007-10-01T00:00:00,Arrival,Domestic,Commuter,168015
2014-05-01T00:00:00,2007-10-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1690216
2014-05-01T00:00:00,2007-10-01T00:00:00,Arrival,International,Commuter,4616
2014-05-01T00:00:00,2007-10-01T00:00:00,Arrival,International,Scheduled Carriers,668451
2014-05-01T00:00:00,2007-10-01T00:00:00,Departure,Domestic,Charter,1208
2014-05-01T00:00:00,2007-10-01T00:00:00,Departure,Domestic,Commuter,159358
2014-05-01T00:00:00,2007-10-01T00:00:00,Departure,Domestic,Scheduled Carriers,1665955
2014-05-01T00:00:00,2007-10-01T00:00:00,Departure,International,Commuter,4313
2014-05-01T00:00:00,2007-10-01T00:00:00,Departure,International,Scheduled Carriers,706707
2014-05-01T00:00:00,2007-11-01T00:00:00,Arrival,Domestic,Charter,1149
2014-05-01T00:00:00,2007-11-01T00:00:00,Arrival,Domestic,Commuter,157884
2014-05-01T00:00:00,2007-11-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1657547
2014-05-01T00:00:00,2007-11-01T00:00:00,Arrival,International,Charter,530
2014-05-01T00:00:00,2007-11-01T00:00:00,Arrival,International,Commuter,4393
2014-05-01T00:00:00,2007-11-01T00:00:00,Arrival,International,Scheduled Carriers,648018
2014-05-01T00:00:00,2007-11-01T00:00:00,Departure,Domestic,Charter,1177
2014-05-01T00:00:00,2007-11-01T00:00:00,Departure,Domestic,Commuter,151870
2014-05-01T00:00:00,2007-11-01T00:00:00,Departure,Domestic,Scheduled Carriers,1665982
2014-05-01T00:00:00,2007-11-01T00:00:00,Departure,International,Charter,426
2014-05-01T00:00:00,2007-11-01T00:00:00,Departure,International,Commuter,4599
2014-05-01T00:00:00,2007-11-01T00:00:00,Departure,International,Scheduled Carriers,679480
2014-05-01T00:00:00,2007-12-01T00:00:00,Arrival,Domestic,Charter,2600
2014-05-01T00:00:00,2007-12-01T00:00:00,Arrival,Domestic,Commuter,174755
2014-05-01T00:00:00,2007-12-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1671966
2014-05-01T00:00:00,2007-12-01T00:00:00,Arrival,International,Charter,250
2014-05-01T00:00:00,2007-12-01T00:00:00,Arrival,International,Commuter,4531
2014-05-01T00:00:00,2007-12-01T00:00:00,Arrival,International,Scheduled Carriers,704450
2014-05-01T00:00:00,2007-12-01T00:00:00,Departure,Domestic,Charter,965
2014-05-01T00:00:00,2007-12-01T00:00:00,Departure,Domestic,Commuter,164515
2014-05-01T00:00:00,2007-12-01T00:00:00,Departure,Domestic,Scheduled Carriers,1701450
2014-05-01T00:00:00,2007-12-01T00:00:00,Departure,International,Charter,189
2014-05-01T00:00:00,2007-12-01T00:00:00,Departure,International,Commuter,4704
2014-05-01T00:00:00,2007-12-01T00:00:00,Departure,International,Scheduled Carriers,757343
2014-05-01T00:00:00,2008-01-01T00:00:00,Arrival,Domestic,Charter,789
2014-05-01T00:00:00,2008-01-01T00:00:00,Arrival,Domestic,Commuter,142908
2014-05-01T00:00:00,2008-01-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1561959
2014-05-01T00:00:00,2008-01-01T00:00:00,Arrival,International,Charter,1009
2014-05-01T00:00:00,2008-01-01T00:00:00,Arrival,International,Commuter,4729
2014-05-01T00:00:00,2008-01-01T00:00:00,Arrival,International,Scheduled Carriers,745797
2014-05-01T00:00:00,2008-01-01T00:00:00,Departure,Domestic,Charter,3254
2014-05-01T00:00:00,2008-01-01T00:00:00,Departure,Domestic,Commuter,139988
2014-05-01T00:00:00,2008-01-01T00:00:00,Departure,Domestic,Scheduled Carriers,1498073
2014-05-01T00:00:00,2008-01-01T00:00:00,Departure,International,Charter,716
2014-05-01T00:00:00,2008-01-01T00:00:00,Departure,International,Commuter,4447
2014-05-01T00:00:00,2008-01-01T00:00:00,Departure,International,Scheduled Carriers,707146
2014-05-01T00:00:00,2008-02-01T00:00:00,Arrival,Domestic,Charter,591
2014-05-01T00:00:00,2008-02-01T00:00:00,Arrival,Domestic,Commuter,151938
2014-05-01T00:00:00,2008-02-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1460617
2014-05-01T00:00:00,2008-02-01T00:00:00,Arrival,International,Charter,622
2014-05-01T00:00:00,2008-02-01T00:00:00,Arrival,International,Commuter,5386
2014-05-01T00:00:00,2008-02-01T00:00:00,Arrival,International,Scheduled Carriers,605368
2014-05-01T00:00:00,2008-02-01T00:00:00,Departure,Domestic,Charter,673
2014-05-01T00:00:00,2008-02-01T00:00:00,Departure,Domestic,Commuter,145377
2014-05-01T00:00:00,2008-02-01T00:00:00,Departure,Domestic,Scheduled Carriers,1458427
2014-05-01T00:00:00,2008-02-01T00:00:00,Departure,International,Charter,645
2014-05-01T00:00:00,2008-02-01T00:00:00,Departure,International,Commuter,5448
2014-05-01T00:00:00,2008-02-01T00:00:00,Departure,International,Scheduled Carriers,616318
2014-05-01T00:00:00,2008-03-01T00:00:00,Arrival,Domestic,Charter,1074
2014-05-01T00:00:00,2008-03-01T00:00:00,Arrival,Domestic,Commuter,154998
2014-05-01T00:00:00,2008-03-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1701779
2014-05-01T00:00:00,2008-03-01T00:00:00,Arrival,International,Charter,591
2014-05-01T00:00:00,2008-03-01T00:00:00,Arrival,International,Commuter,6499
2014-05-01T00:00:00,2008-03-01T00:00:00,Arrival,International,Scheduled Carriers,740033
2014-05-01T00:00:00,2008-03-01T00:00:00,Departure,Domestic,Charter,1143
2014-05-01T00:00:00,2008-03-01T00:00:00,Departure,Domestic,Commuter,150837
2014-05-01T00:00:00,2008-03-01T00:00:00,Departure,Domestic,Scheduled Carriers,1740759
2014-05-01T00:00:00,2008-03-01T00:00:00,Departure,International,Charter,782
2014-05-01T00:00:00,2008-03-01T00:00:00,Departure,International,Commuter,6714
2014-05-01T00:00:00,2008-03-01T00:00:00,Departure,International,Scheduled Carriers,728470
2014-05-01T00:00:00,2008-04-01T00:00:00,Arrival,Domestic,Charter,1140
2014-05-01T00:00:00,2008-04-01T00:00:00,Arrival,Domestic,Commuter,150337
2014-05-01T00:00:00,2008-04-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1622706
2014-05-01T00:00:00,2008-04-01T00:00:00,Arrival,International,Charter,425
2014-05-01T00:00:00,2008-04-01T00:00:00,Arrival,International,Commuter,5911
2014-05-01T00:00:00,2008-04-01T00:00:00,Arrival,International,Scheduled Carriers,708299
